MONTH,FII (INR Crore),,,DII (INR Crore),,,NIFTY
,Buy Amount,Sell Amount,Net Amount,Buy Amount,Sell Amount,Net Amount,
"13 Aug, 2025",11350.06,14994.49,-3644.43,13982.46,8358.67,5623.79,24619.35131.95 (0.54%)
"12 Aug, 2025",9532.22,12931.02,-3398.8,11888.48,8380.55,3507.93,24487.4-97.65 (-0.4%)
"11 Aug, 2025",9477.3,10679.95,-1202.65,15109.07,9136.71,5972.36,24585.05221.75 (0.91%)
"08 Aug, 2025",17682.11,15749.3,1932.81,16682.09,8958.43,7723.66,24363.3-232.85 (-0.95%)
"07 Aug, 2025",10567.78,15564.97,-4997.19,19629.64,8765.6,10864.04,24596.1521.95 (0.09%)
"06 Aug, 2025",11242.19,16241.29,-4999.1,16760.64,9966.36,6794.28,24574.2-75.35 (-0.31%)
"05 Aug, 2025",15251.29,15273.77,-22.48,14250.99,10410.6,3840.39,24649.55-73.2 (-0.3%)
"04 Aug, 2025",9014.97,11581.48,-2566.51,14068.4,9682.11,4386.29,24722.75157.4 (0.64%)
"01 Aug, 2025",9379.46,12745.86,-3366.4,14990.14,11803.28,3186.86,24565.35-203 (-0.82%)
,,,,,,,
"31 Jul, 2025",16819.69,22408.6,-5588.91,17465.71,11093,6372.71,24768.35-86.7 (-0.35%)
"30 Jul, 2025",11888.17,12738.21,-850.04,12890.19,11061.08,1829.11,24855.0533.95 (0.14%)
"29 Jul, 2025",11512.19,16148.79,-4636.6,16166.18,10019.36,6146.82,24821.1140.2 (0.57%)
"28 Jul, 2025",9993.78,16076.25,-6082.47,15799.53,9034.98,6764.55,24680.9-156.1 (-0.63%)
"25 Jul, 2025",12831.79,14811.75,-1979.96,12786.65,10648.06,2138.59,24837-225.1 (-0.9%)
"24 Jul, 2025",13725.46,15859.15,-2133.69,13507.17,10890.03,2617.14,25062.1-157.8 (-0.63%)
"23 Jul, 2025",14475.5,18684.61,-4209.11,15146.43,10787.91,4358.52,25219.9159 (0.63%)
"22 Jul, 2025",12804.14,16353.06,-3548.92,16673.37,11433.6,5239.77,25060.9-29.8 (-0.12%)
"21 Jul, 2025",10823.67,12504.9,-1681.23,13793.86,10215.43,3578.43,25090.7122.3 (0.49%)
"18 Jul, 2025",15430.85,15056.11,374.74,14451.18,12347.67,2103.51,24968.4-143.05 (-0.57%)
"17 Jul, 2025",11633.02,15327.33,-3694.31,13523.36,10702.59,2820.77,25111.45-100.6 (-0.4%)
"16 Jul, 2025",11002.49,12860.64,-1858.15,12786.44,11562.89,1223.55,25212.0516.25 (0.06%)
"15 Jul, 2025",11553.04,11432.57,120.47,13710.83,12155.8,1555.03,25195.8113.5 (0.45%)
"14 Jul, 2025",17054.46,18668.78,-1614.32,14561.52,12773.84,1787.68,25082.3-67.55 (-0.27%)
"11 Jul, 2025",11998.56,17102.78,-5104.22,15728.51,12169.88,3558.63,25149.85-205.4 (-0.81%)
"10 Jul, 2025",11829.26,11608.2,221.06,12468.8,11877.47,591.33,25355.25-120.85 (-0.47%)
"09 Jul, 2025",12930.71,12853.71,77,13350.22,12429.39,920.83,25476.1-46.4 (-0.18%)
"08 Jul, 2025",12167.19,12193.31,-26.12,13275.91,11909.09,1366.82,25522.561.2 (0.24%)
"07 Jul, 2025",8962.48,8641.32,321.16,11129.04,9275.65,1853.39,25461.30.3 (0%)
"04 Jul, 2025",7517.79,8277.9,-760.11,10305.48,11334.32,-1028.84,2546155.7 (0.22%)
"03 Jul, 2025",11672.96,13154.15,-1481.19,12690.4,11357.34,1333.06,25405.3-48.1 (-0.19%)
"02 Jul, 2025",13954.4,15516.02,-1561.62,16695.01,13658.33,3036.68,25453.4-88.4 (-0.35%)
"01 Jul, 2025",11556.94,13527.08,-1970.14,12921.96,12150.88,771.08,25541.824.75 (0.1%)
,,,,,,,
"30 Jun, 2025",12967.6,13799.1,-831.5,15914.52,12417.08,3497.44,25517.05-120.75 (-0.47%)
"27 Jun, 2025",19740.81,18343.79,1397.02,41201.99,41790.92,-588.93,25637.888.8 (0.35%)
"26 Jun, 2025",32020.06,19425.68,12594.38,14029.71,14224.94,-195.23,25549304.25 (1.21%)
"25 Jun, 2025",13260.43,15688.17,-2427.74,12810.07,10437.11,2372.96,25244.75200.4 (0.8%)
"24 Jun, 2025",13628.08,18894.09,-5266.01,14931.45,9721.85,5209.6,25044.3572.45 (0.29%)
"23 Jun, 2025",8570.02,10444.4,-1874.38,13499.27,7907.5,5591.77,24971.9-140.5 (-0.56%)
"20 Jun, 2025",52411.51,44470.81,7940.7,24208.65,27258.53,-3049.88,25112.4319.15 (1.29%)
"19 Jun, 2025",12011.23,11076.61,934.62,11132.9,10526.93,605.97,24793.25-18.8 (-0.08%)
"18 Jun, 2025",12118.14,11227.21,890.93,11433.84,10342.5,1091.34,24812.05-41.35 (-0.17%)
"17 Jun, 2025",13581.1,12098.33,1482.77,19427.32,11220.13,8207.19,24853.4-93.1 (-0.37%)
"16 Jun, 2025",10029.64,12569.06,-2539.42,14147.65,8366.69,5780.96,24946.5227.9 (0.92%)
"13 Jun, 2025",14162.89,15426.41,-1263.52,13487.57,10446.13,3041.44,24718.6-169.6 (-0.68%)
"12 Jun, 2025",11656.73,15488.15,-3831.42,21386.26,11992.41,9393.85,24888.2-253.2 (-1.01%)
"11 Jun, 2025",14530.87,14977.18,-446.31,14764.75,13179.88,1584.87,25141.437.15 (0.15%)
"10 Jun, 2025",16548.24,14246.37,2301.87,13787.98,12674.64,1113.34,25104.251.05 (0%)
"09 Jun, 2025",12778.34,10785.47,1992.87,15306.03,11802.24,3503.79,25103.2100.15 (0.4%)
"06 Jun, 2025",15208.43,14198.72,1009.71,22522.51,13180.03,9342.48,25003.05252.15 (1.02%)
"05 Jun, 2025",17878.55,18087.02,-208.47,13190.92,10808.52,2382.4,24750.9130.7 (0.53%)
"04 Jun, 2025",16575.56,15499.38,1076.18,13045.17,10478.35,2566.82,24620.277.7 (0.32%)
"03 Jun, 2025",17063.43,19917.26,-2853.83,15703.72,9795.75,5907.97,24542.5-174.1 (-0.7%)
"02 Jun, 2025",12838.57,15428.04,-2589.47,14470.06,9156.3,5313.76,24716.6-34.1 (-0.14%)
,,,,,,,
"30 May, 2025",44434.53,50884.27,-6449.74,20673.18,11577.27,9095.91,24750.7-82.9 (-0.33%)
"29 May, 2025",21278.74,20394.71,884.03,12845.78,8559.28,4286.5,24833.681.15 (0.33%)
"28 May, 2025",16278.5,11615.58,4662.92,17643.97,9731.98,7911.99,24752.45-73.75 (-0.3%)
"27 May, 2025",18643.68,18295.23,348.45,19497.42,9392.76,10104.66,24826.2-174.95 (-0.7%)
"26 May, 2025",9081.47,8945.49,135.98,10545.16,8799.44,1745.72,25001.15148 (0.6%)
"23 May, 2025",11054.42,9259.83,1794.59,10011.1,9711.32,299.78,24853.15243.45 (0.99%)
"22 May, 2025",11608.61,16653.97,-5045.36,13348.63,9633.63,3715,24609.7-203.75 (-0.82%)
"21 May, 2025",13355.91,11154.12,2201.79,10555.99,9872.22,683.77,24813.45129.55 (0.52%)
"20 May, 2025",14788.67,24804.77,-10016.1,15376.54,8638.15,6738.39,24683.9-261.55 (-1.05%)
