Date,FII_Buy,FII_Sell,FII_Net,DII_Buy,DII_Sell,DII_Net,Nifty_Close,Nifty_Change,Nifty_%Chg
2013-11-28,3136.23,3033.32,102.91,1790.8,1460.29,330.51,,,
2013-11-29,2632.22,1887.06,745.16,1042.58,1144.34,-101.76,,,
2013-12-02,2528.32,1924.16,604.16,814.97,1227.12,-412.15,,,
2013-12-03,2740.66,2007.41,733.25,625.67,1503.05,-877.38,,,
2013-12-04,2858.2,2886.79,-28.59,795.91,1107.83,-311.92,,,
2013-12-06,2511.04,3571.21,-1060.17,1788.65,1070.76,717.89,,,
2013-12-07,2902.7,2257.88,644.82,1153.92,1298.89,-144.97,,,
2013-12-08,3227.31,2818.95,408.36,1122.89,864.08,258.81,,,
2013-12-09,3764.75,2834.21,930.54,1065.48,1460.97,-395.49,,,
2013-12-11,2558.77,2211.19,347.58,520.8,1391.2,-870.4,,,
2013-12-12,2876.19,2688.38,187.81,750.14,1104.99,-354.85,,,
2013-12-13,3121.35,3553.37,-432.02,991.13,1036.2,-45.07,,,
2013-12-16,2333.74,2174.19,159.55,997.8,1127.3,-129.5,,,
2013-12-17,3130.68,2880.75,249.93,1057.52,1154.35,-96.83,,,
2013-12-18,4557.33,3358.73,1198.6,973.59,1386.6,-413.01,,,
2013-12-19,4286.14,2022.03,2264.11,1617.49,1659.08,-41.59,,,
2013-12-20,3444.87,2454.68,990.19,1155.52,1403.47,-247.95,,,
2013-12-23,2781.45,2646.03,135.42,980.95,942.6,38.35,,,
2013-12-24,1175.13,1134.46,40.67,819.29,863.19,-43.9,,,
2013-12-26,2665.98,1922.28,743.7,1133.18,1336.62,-203.44,,,
2013-12-27,1352.35,1056.59,295.76,793.34,953.19,-159.85,,,
2013-12-30,1304.93,1188.87,116.06,676.58,883.73,-207.15,,,
2013-12-31,1545.81,1236.11,309.7,610.9,890.79,-279.89,,,
2014-01-01,225.12,214.96,10.16,359.22,581.34,-222.12,,,
2014-01-04,3568.87,3183.21,385.66,1158.87,1406.75,-247.88,,,
2014-01-07,3790.73,2934.38,856.35,1245.28,2019.94,-774.66,,,
2014-01-08,4694.49,5767.45,-1072.96,2441.26,1366.56,1074.7,,,
2014-01-09,3833.02,3278.88,554.14,1135.18,1696.87,-561.69,,,
2014-01-10,3534.85,3598.09,-63.24,1418.1,1262.41,155.69,,,
2014-01-12,4336.73,4349.09,-12.36,1572.33,2127.5,-555.17,,,
2014-01-13,2977.97,2564.12,413.85,778.96,1096.48,-317.52,,,
2014-01-14,2393.4,2654.28,-260.88,587.23,685.16,-97.93,,,
2014-01-15,3635.25,2921.96,713.29,781.7,1471.72,-690.02,,,
2014-01-16,3676.96,3197.68,479.28,868.11,1659.86,-791.75,,,
2014-01-17,4973.63,4898.36,75.27,1516.24,1374.59,141.65,,,
2014-01-20,2605.65,2220.76,384.89,859.79,1170.26,-310.47,,,
2014-01-21,2862.48,2906.22,-43.74,1031.91,850.41,181.5,,,
2014-01-22,3241.2,2961.75,279.45,917.03,1007.6,-90.57,,,
2014-01-23,3213.91,2780.31,433.6,842.28,1235.96,-393.68,,,
2014-01-24,3136.11,3367.07,-230.96,1093.35,1171.4,-78.05,,,
2014-01-27,2733.82,4068.03,-1334.21,1484.0,1332.98,151.02,,,
2014-01-28,2756.77,4024.12,-1267.35,2468.29,1289.48,1178.81,,,
2014-01-29,3251.51,3001.03,250.48,1287.61,1304.48,-16.87,,,
2014-01-30,3905.65,4335.85,-430.2,1878.97,1746.96,132.01,,,
2014-01-31,2798.91,3451.88,-652.97,1294.09,967.08,327.01,,,
2014-02-01,2396.16,1722.11,674.05,914.67,1104.42,-189.75,,,
