Date,FII_Buy,FII_Sell,FII_Net,DII_Buy,DII_Sell,DII_Net,Nifty_Close,Nifty_Change,Nifty_%Chg
2022-01-25,7357.33,14451.81,-7094.48,10764.4,6229.87,4534.53,,,
2022-01-27,11417.36,17684.11,-6266.75,10727.48,7846.16,2881.32,,,
2022-01-28,8222.94,13268.28,-5045.34,9617.43,6258.76,3358.67,,,
2022-01-31,6014.14,9638.62,-3624.48,9167.06,5518.41,3648.65,,,
2022-02-02,6001.43,6185.03,-183.6,7713.43,7287.47,425.96,,,
2022-02-03,12971.68,17310.62,-4338.94,10264.64,7202.94,3061.7,,,
2022-02-05,5041.77,6895.23,-1853.46,6621.75,4670.65,1951.1,,,
2022-02-06,7131.8,7583.62,-451.82,4677.17,4546.54,130.63,,,
2022-02-08,7526.33,6701.15,825.18,6208.86,6091.07,117.79,,,
2022-02-14,5457.75,9711.45,-4253.7,7698.04,5527.75,2170.29,,,
2022-02-15,6353.59,8652.35,-2298.76,8739.16,4327.56,4411.6,,,
2022-02-16,5879.05,7770.01,-1890.96,5334.3,4154.16,1180.14,,,
2022-02-17,6078.38,7320.48,-1242.1,4617.33,3716.23,901.1,,,
2022-02-18,4314.48,6844.44,-2529.96,4992.67,3063.59,1929.08,,,
2022-02-21,4160.37,6422.27,-2261.9,6187.26,3794.41,2392.85,,,
2022-02-22,8614.37,11859.89,-3245.52,8143.69,4035.11,4108.58,,,
2022-02-23,4623.64,8040.8,-3417.16,6892.39,3868.02,3024.37,,,
2022-02-24,9231.8,15680.04,-6448.24,14452.42,6784.67,7667.75,,,
2022-02-25,5690.93,10161.63,-4470.7,9655.31,5337.07,4318.24,,,
2022-02-28,14629.66,18578.13,-3948.47,9128.63,4985.81,4142.82,,,
2022-03-01,4226.3,3323.66,902.64,4815.58,4012.47,803.11,,,
2022-03-02,4630.52,6228.06,-1597.54,6089.96,6460.54,-370.58,,,
2022-03-03,7153.44,13798.09,-6644.65,11803.36,7004.12,4799.24,,,
2022-03-06,5804.83,9575.34,-3770.51,6890.49,4529.98,2360.51,,,
2022-03-08,10148.58,9383.41,765.17,5865.37,6383.79,-518.42,,,
2022-03-14,8151.62,8328.14,-176.52,6385.66,5287.04,1098.62,,,
2022-03-15,10225.3,11475.04,-1249.74,6957.09,6858.84,98.25,,,
2022-03-16,9098.13,8786.14,311.99,5206.82,4434.27,772.55,,,
