,ICICI_Close_ret,Nifty_Close_ret,BankNifty_Close_ret,Gold_Close_ret,USD_INR_ret,Bond_10Y_ret,Bond_5Y_ret,US_10Y_ret,US_5Y_ret,FII_Net_chg,DII_Net_chg,CPI_Index_chg,WPI_Index_chg,Trade_Balance_Billion_USD_chg,Repo_Rate_%_chg,CRR_%_chg,Real_GDP_YoY_Growth_%_chg,Net Profit (₹ Cr)_chg,NII (₹ Cr)_chg
2024-07-26,0.007733506084324138,0.01741480789992859,0.007969908944948765,0.011877017079959726,0.0,-0.001727613444377699,-0.005682247386280046,-0.013245282022499215,-0.015798131524189466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-29,0.0045457136019177195,5.0331230625744864e-05,0.002147973938197812,-0.0011350772219737724,0.0005971932097462035,-0.003030524002039226,-0.0004384362510861562,-0.005251823133191911,-0.003435571384148887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-30,-0.002683605253305543,0.0008532792280141148,0.0018084701146688046,0.011584493096314897,-0.0005971932097461632,0.0017328524191737701,0.0013147324952728612,-0.008412463262813573,-0.007649552518846956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-31,0.004496120647666315,0.0037684255675633532,0.001049902848337241,0.008899986305409351,0.00035835872091082753,-0.001010465621884804,-0.0005841121661402177,-0.008240453446674229,-0.009207525162795131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-01,-0.0039588231487931455,0.002391816490734086,0.00020562121810672305,0.0034968666714193194,-0.0003583587209108666,-0.001156069492918779,-0.0033652822747069723,-0.03290343348977998,-0.04030129478773849,0.0,0.0,-0.11020000000002028,0.0,-2.0336355048577626,0.0,0.0,0.0,0.0,0.0
2024-08-02,-0.011260535302634487,-0.011792190883304469,-0.004155927509398077,-0.003826634135013617,0.001074691129765581,-0.002316156217830344,-0.0033766456512256014,-0.047382707564233115,-0.060901208083320904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-05,-0.02021898267014428,-0.02715175314145156,-0.024804484852365218,-0.00994332279261066,0.0004772700245707311,-0.005813969865419845,-0.002503130218118477,-0.0018476894136180422,0.0035896797870894116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-06,-0.0049156577044417085,-0.0026244033870099497,-0.006887034348547458,-0.005260032745343863,0.0009538572322119823,0.0017477429441603168,0.0005895357576786907,0.02684897997568409,0.02772670073333869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-07,0.004787726875376472,0.012630066341245293,0.007423869843349755,0.0005857822224360302,0.000595699070454203,-0.0014562402456962235,-0.0013269445367617273,0.020367283537785327,0.017276192182140142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-08,-0.006717883704446419,-0.007456478381555143,0.0007519113966770541,0.013173648862206806,-0.00011911142888235016,0.002183565901441049,0.0019161329467947714,0.007281901400623601,0.009963341016256514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
