Date,ICICI_Close,Nifty_Close,BankNifty_Close,Gold_Close,USD_INR,Bond_10Y,Bond_5Y,US_10Y,US_5Y,FII_Net,DII_Net,CPI_Index,WPI_Index,Trade_Balance_Billion_USD,Repo_Rate_%,CRR_%,Real_GDP_YoY_Growth_%,Net Profit (₹ Cr),NII (₹ Cr),Nifty_RSI_14,BankNifty_RSI_14,ICICI_RSI_14
2024-08-15,1161.6500244140625,24143.75,49727.30078125,2453.10009765625,83.94,6.858,6.777,3.9260001182556152,3.799000024795532,3040.46,-839.45,157.2212,136.303904538932,-24.77655,6.75,4.5,7.456116364981313,10261.0,18308.0,,,
2024-08-16,1187.25,24541.150390625,50516.8984375,2498.60009765625,83.95,6.867,6.789,3.8919999599456783,3.76799988746643,3040.46,-839.45,157.2212,136.303904538932,-24.77655,6.75,4.5,7.456116364981313,10261.0,18308.0,54.99656923850647,45.76006874294236,48.80240871003522
2024-08-19,1175.9000244140625,24572.650390625,50368.3515625,2501.800048828125,83.82,6.864,6.783,3.867000102996826,3.759000062942505,3040.46,-839.45,157.2212,136.303904538932,-24.77655,6.75,4.5,7.456116364981313,10261.0,18308.0,55.636412185354445,44.31372696162086,44.79739582571828
2024-08-20,1179.449951171875,24698.849609375,50803.1484375,2511.300048828125,83.79,6.856,6.785,3.818000078201294,3.700000047683716,3040.46,-839.45,157.2212,136.303904538932,-24.77655,6.75,4.5,7.456116364981313,10261.0,18308.0,58.20048193335385,49.35909973326191,46.28226935717468
2024-08-21,1174.8499755859375,24770.19921875,50685.55078125,2508.39990234375,83.93,6.853,6.781,3.7780001163482666,3.638999938964844,3040.46,-839.45,157.2212,136.303904538932,-24.77655,6.75,4.5,7.456116364981313,10261.0,18308.0,59.6214158369128,48.08999696373351,44.60785827623868
2024-08-22,1191.0999755859375,24811.5,50985.69921875,2478.89990234375,83.93,6.852,6.778,3.861999988555908,3.7269999980926514,3040.46,-839.45,157.2212,136.303904538932,-24.77655,6.75,4.5,7.456116364981313,10261.0,18308.0,60.45932706269164,51.51645953492206,51.30940496806408
2024-08-23,1203.5,24823.150390625,50933.44921875,2508.39990234375,83.91,6.859,6.784,3.806999921798706,3.650000095367432,3040.46,-839.45,157.2212,136.303904538932,-24.77655,6.75,4.5,7.456116364981313,10261.0,18308.0,60.70702859760843,50.88675820038068,55.71253555100132
2024-08-26,1213.300048828125,25010.599609375,51148.1015625,2517.699951171875,83.87,6.851,6.773,3.818000078201294,3.6640000343322754,3040.46,-839.45,157.2212,136.303904538932,-24.77655,6.75,4.5,7.456116364981313,10261.0,18308.0,64.55448544764045,53.40645554267389,58.877618687389
2024-08-27,1226.3499755859375,25017.75,51278.75,2516.0,83.91,6.861,6.782,3.8329999446868896,3.6570000648498535,3040.46,-839.45,157.2212,136.303904538932,-24.77655,6.75,4.5,7.456116364981313,10261.0,18308.0,64.69649173312494,54.92233428850446,62.70034845135747
2024-08-28,1223.8499755859375,25052.349609375,51143.8515625,2501.0,83.9,6.861,6.777,3.8410000801086426,3.6649999618530273,3040.46,-839.45,157.2212,136.303904538932,-24.77655,6.75,4.5,7.456116364981313,10261.0,18308.0,65.41845774278644,53.00480784614074,61.52048510021303
2024-08-29,1221.9000244140625,25151.94921875,51152.75,2525.699951171875,83.84,6.864,6.775,3.867000102996826,3.6679999828338623,3040.46,-839.45,157.2212,136.303904538932,-24.77655,6.75,4.5,7.456116364981313,10261.0,18308.0,67.48012635178688,53.12107620055452,60.56320502810333
