,ICICI_Close,Nifty_Close,BankNifty_Close,Gold_Close,USD_INR,Bond_10Y,Bond_5Y,US_10Y,US_5Y,FII_Net,DII_Net,CPI_Index,WPI_Index,Trade_Balance_Billion_USD,Repo_Rate_%,CRR_%,Real_GDP_YoY_Growth_%,Net Profit (₹ Cr),NII (₹ Cr)
2023-05-04,899.4323120117188,18255.80078125,43685.44921875,2048.0,81.73,7.014,6.95,3.3510000705718994,3.2760000228881836,3040.46,-839.45,148.4071,136.303904538932,-20.86285,6.75,4.5,3.83865932351819,5511.0,11690.0
2023-05-05,904.555419921875,18069.0,42661.19921875,2017.4000244140625,81.81,7.014,6.95,3.446000099182129,3.4189999103546143,3040.46,-839.45,148.4071,136.303904538932,-20.86285,6.75,4.5,3.83865932351819,5511.0,11690.0
2023-05-08,915.2409057617188,18264.400390625,43284.0,2026.300048828125,81.78,7.047,6.981,3.5209999084472656,3.5,3040.46,-839.45,148.4071,136.303904538932,-20.86285,6.75,4.5,3.83865932351819,5511.0,11690.0
2023-05-09,911.8255004882812,18265.94921875,43198.1484375,2036.199951171875,82.04,7.046,6.983,3.5209999084472656,3.494999885559082,3040.46,-839.45,148.4071,136.303904538932,-20.86285,6.75,4.5,3.83865932351819,5511.0,11690.0
2023-05-10,913.435546875,18315.099609375,43331.05078125,2030.5,81.94,7.036,6.989,3.438999891281128,3.372999906539917,3040.46,-839.45,148.4071,136.303904538932,-20.86285,6.75,4.5,3.83865932351819,5511.0,11690.0
2023-05-11,916.5094604492188,18297.0,43475.30078125,2014.699951171875,82.13,7.023,6.971,3.3970000743865967,3.3589999675750732,3040.46,-839.45,148.4071,136.303904538932,-20.86285,6.75,4.5,3.83865932351819,5511.0,11690.0
2023-05-12,921.095947265625,18314.80078125,43793.55078125,2014.5,82.17,6.995,6.951,3.4630000591278076,3.450999975204468,3040.46,-839.45,148.4071,136.303904538932,-20.86285,6.75,4.5,3.83865932351819,5511.0,11690.0
2023-05-15,922.9012451171876,18398.849609375,44072.1015625,2018.0,82.3,7.001,6.963,3.507999897003174,3.4690001010894775,3040.46,-839.45,148.4071,136.303904538932,-20.86285,6.75,4.5,3.83865932351819,5511.0,11690.0
2023-05-16,923.4866943359376,18286.5,43903.69921875,1988.4000244140625,82.26,6.963,6.922,3.549000024795532,3.5220000743865967,3040.46,-839.45,148.4071,136.303904538932,-20.86285,6.75,4.5,3.83865932351819,5511.0,11690.0
2023-05-17,916.6558837890624,18181.75,43698.69921875,1980.699951171875,82.39,6.972,6.906,3.5810000896453857,3.5920000076293945,3040.46,-839.45,148.4071,136.303904538932,-20.86285,6.75,4.5,3.83865932351819,5511.0,11690.0
